Stagione;Calciatore;Squadra;Età;Partite Giocate;Minuti Giocati;Reti;Assist;Reti Non Su Rigore;Rigori Tirati;Ammonizioni;Espulsioni;Ruolo?
2024-25;Scott McTominay;Napoli;27;34;2.938;12;4;12;12;3;0;Cen
2024-25;Alessandro Buongiorno;Napoli;25;22;1.924;1;0;1;1;2;0;Dif
2024-25;Hakan Çalhanoğlu;Inter;30;29;1.947;5;6;2;2;5;0;Cen
2024-25;Armando Izzo;Monza;32;30;2.435;1;1;1;1;12;0;Dif
2024-25;Alex Meret;Napoli;27;34;3.005;0;0;0;0;0;0;Por
2024-25;Mario Balotelli;Genoa;33;6;62;0;0;0;0;2;0;Att
2024-25;Dušan Vlahović;Juventus;24;29;1.784;10;4;6;6;3;0;Att
2024-25;Romelu Lukaku;Napoli;31;36;2.843;14;10;11;11;4;0;Att
2024-25;Riccardo Orsolini;Bologna;27;30;1.878;15;4;12;12;2;0;Att
2024-25;Pedro Rodríguez Ledesma;Lazio;37;30;1.102;10;1;8;8;2;0;Att
2024-25;Vanja Milinković-Savić;Torino;27;37;3.330;0;0;0;0;3;0;Por
2024-25;Giacomo Raspadori;Napoli;24;26;1.103;6;1;6;6;1;0;Att
2024-25;Tijjani Reijnders;Milan;26;37;3.128;10;4;10;10;2;1;Cen
2024-25;José Manuel Reina;Como;41;12;1.034;0;0;0;0;0;1;Por
2024-25;Francisco Conceição;Juventus;21;26;1.340;3;3;3;3;5;1;Cen
2024-25;Elif Elmas;Torino;24;13;1.021;4;0;4;4;0;0;Cen
2024-25;Moise Kean;Fiorentina;24;32;2.704;19;3;18;18;6;0;Att
2024-25;Giovanni Leoni;Parma;17;17;1.199;1;0;1;1;3;1;Dif
2024-25;Yann Sommer;Inter;35;33;2.970;0;0;0;0;0;0;Por
2024-25;Enrico Del Prato;Parma;24;34;2.947;4;0;4;4;8;0;Dif
2024-25;Éderson;Atalanta;25;37;2.881;4;1;4;4;5;1;Cen
2024-25;Federico Dimarco;Inter;26;33;2.177;4;7;4;4;3;0;Dif
2024-25;Oumar Solet;Udinese;24;19;1.672;1;2;1;1;3;1;Dif
2024-25;Matìas Soulé;Roma;21;27;1.781;5;5;5;5;3;0;Cen
2024-25;Luca Ranieri;Fiorentina;25;36;3.071;1;3;1;1;7;0;Dif
